2M04170372-6841111 4668036818281103744 2.94 5003 -1.29  -404.15    13.66    14.09    13.06     0.147  1824  3.29   nan    0.97 0 0
2M04181763-6108376 4678395901441788800 2.98 5119 -1.58  -455.40    13.34    13.73    12.78     0.055  1771 10.09   nan    0.94 0 0
2M04182182-6213064 4676640771646816640 3.08 4572 -0.10  -451.21    12.97    13.54    12.28     0.053  1482  4.29   nan    1.19 1 0
2M04182525+5431314  275675160252049152 2.92 4527 -0.37  -456.86    15.42    16.73    14.27     3.510  2583  8.77   nan    1.00 0 1
2M04184891-6830339 4668127321832219008 3.27 5093 -1.54  -659.13    15.52    15.94    14.93     0.127  4099  1.74   nan    1.10 0 1
2M04222993+5532147  276564733880435840 2.93 4355 -0.66  -761.52    16.44    17.63    15.34     1.919  2699  7.16   nan    1.07 0 1
2M04301715+6155108  472654798672862848 3.00 4519 -0.55  -635.06    15.95    17.23    14.83     2.084  5245 12.24   nan    1.01 0 1
2M04304533+3001511  159128061577272192 3.85 4398 -0.23  -801.34    15.04    15.96    14.08     1.289  1206 12.83   nan    1.01 0 1
2M04350942+5805101  278564401931982208 3.31 4368  0.12  -656.06    11.36    12.10    10.58     1.234   448  6.47   nan    1.09 0 1
2M04361967+3641031  175051566927867904 3.55 4469  0.10  -628.65    15.70    16.77    14.66     1.782  1202 10.35   nan    1.19 0 1
2M04384565+3603250  174775245912241024 3.79 4415 -0.62  -999.06    13.81    14.89    12.77     1.865  1040 16.62   nan    1.02 0 1
2M04404351+2845463  158053701277925632 2.96 4530  0.03  -356.32    14.97    16.21    13.87     2.029  1809  5.64   nan    1.02 0 1
2M04413310+0742294 3292165038808084864 3.65 4395 -0.31  -734.96    13.81    14.48    13.02     0.439  1022 13.66   nan    1.06 0 1
2M04425197+0723374 3289139045369149696 3.10 4602 -0.59  -551.86    10.87    11.52    10.12     0.329   962 15.60 14.83    1.16 1 1
2M04472011+0805575 3289295622697276160 3.30 4243 -0.17  -808.73    14.81    15.54    13.98     0.302  3047 15.21   nan    1.01 0 1
2M04482501-7515109 4652219140928264960 2.37 4996 -1.89  -449.61    15.23    15.73    14.57     0.357  6559  1.57   nan    1.02 0 0
2M04494971+3921464  199564422755444096 3.14 4726 -0.47  -387.48    14.74    15.78    13.73     1.563  3066 14.11   nan    0.96 0 1
2M04504466+3403500  161889343294678528 3.00 4368  0.10  -463.17    12.77    13.91    11.72     1.782   986 12.18   nan    0.96 1 1
2M04523266-7535496 4625178056893212160 3.48 4721  0.27  -313.43    12.93    13.56    12.18     0.434   616  5.53  7.19    1.23 0 0
2M04523329+6407254  478964208711675776 3.01 4665 -0.36  -481.54    14.57    15.41    13.67     1.234  3086 10.42   nan    1.03 0 1
2M04560510+4453238  206260414211356800 2.84 4832 -0.52  -292.62    15.24    16.43    14.16     2.440  3944  9.72   nan    0.99 0 1
2M04565524-6827330 4661513828138042368 2.73 4372 -0.35  -636.08    16.40    17.88    15.18     1.495  4679 17.21   nan    1.02 0 0
2M04585534-5941356 4762087153135575040 3.07 4436  0.10  -461.10    11.42    12.06    10.69     0.069   824  7.34   nan    1.03 1 0
2M04592354-5907517 4762313137134578176 2.99 4981 -0.51  -405.89    13.14    13.60    12.53     0.071  2270  1.68   nan    1.00 0 0
2M05004384+2047278 3409050099867680896 3.08 4600 -0.69  -584.83    14.64    15.44    13.76     0.987  4067 11.68   nan    1.00 0 1
